SP,noSP,sub
284.34512,226.7783,57.56682
144.8331,94.630775,50.202325
152.88625,99.30938,53.57687
205.04054,155.98769,49.05285
125.14466,65.85129,59.29337
203.0359,126.278885,76.757015
88.40257,40.904964,47.497606
136.83191,89.0287,47.80321
181.34712,105.653336,75.693784
83.11767,62.982544,20.135126
214.58379,136.67552,77.90827
135.15974,82.98532,52.17442
301.90732,222.02458,79.88274
257.6714,178.53906,79.13234
167.04024,109.75844,57.2818
141.9726,98.726555,43.246045
126.4663,71.45984,55.00646
175.62721,124.7038,50.92341
263.6103,196.63744,66.97286
173.34325,121.65731,51.68594
352.56104,335.9655,16.59554
66.29034,43.03806,23.25228
273.92032,187.52063,86.39969
128.12462,75.62098,52.50364
111.61664,68.16009,43.45655
104.19079,58.015766,46.175024
135.87851,101.0202,34.85831
142.50471,69.796165,72.708545
245.55185,190.3391,55.21275
174.4125,117.87151,56.54099
88.26673,49.521187,38.745543
95.706955,46.3477,49.359255
158.46237,113.57399,44.88838
168.34624,121.762886,46.583354
215.39859,152.99237,62.40622
145.95859,93.36322,52.59537
267.3597,190.34271,77.01699
179.29869,100.571266,78.727424
135.56323,80.97923,54.584
224.90074,165.58922,59.31152
324.85764,281.648,43.20964
183.88159,130.89056,52.99103
156.17726,105.67343,50.50383
188.76634,133.34056,55.42578
172.0203,105.22559,66.79471
98.809616,48.814407,49.995209
157.80678,118.28288,39.5239
181.41026,133.86203,47.54823
96.30405,45.103065,51.200985
330.36307,272.79852,57.56455
139.58469,94.94888,44.63581
198.48476,150.94829,47.53647
193.74611,145.27158,48.47453
207.8203,162.6624,45.1579
82.33554,62.973892,19.361648
181.28621,107.57512,73.71109
128.02939,77.42849,50.6009
125.00712,77.70747,47.29965
84.90798,52.07389,32.83409
225.43231,168.29669,57.13562
139.64896,101.75665,37.89231
150.29489,94.384186,55.910704
164.2346,120.02883,44.20577
167.46046,103.35196,64.1085
149.08102,98.02885,51.05217
171.67178,106.70743,64.96435
317.1073,287.32693,29.78037
143.02013,83.13589,59.88424
114.19794,66.4953,47.70264
57.554054,27.786625,29.767429
176.84319,114.070694,62.772496
148.94998,126.55503,22.39495
134.94205,106.167274,28.774776
135.76518,74.75023,61.01495
125.11355,100.67794,24.43561
350.18643,304.4247,45.76173
123.40567,79.75175,43.65392
119.99661,73.470055,46.526555
