SP,noSP
17.017166,12.547014
17.706057,14.052656
14.083139,12.088753
5.3262825,3.7263582
13.186163,10.173761
11.451224,7.3757167
8.0409,5.1565886
10.299871,9.578057
9.147811,8.738762
9.829257,7.590968
11.149964,7.555792
9.027702,7.7881837
12.399634,11.063913
11.500273,7.96948
12.630629,9.90633
4.7463727,3.6814778
12.199837,6.26739
8.451898,7.090487
8.851996,7.6006374
4.4830337,3.0108113
10.682606,7.773724
11.188944,9.179098
13.656208,9.854029
13.18539,11.313262
6.307857,5.2460313
12.361718,8.946719
13.729477,10.777414
9.971369,8.58184
10.489828,7.9866962
9.566744,7.888783
10.458341,9.009588
13.563725,12.447713
11.829618,9.229582
12.133723,10.204452
4.94177,4.7041698
11.0005,9.036298
8.81951,8.193115
11.464142,9.580629
12.02437,10.613035
9.684166,7.9120455
16.679306,12.831755
9.470495,7.862257
12.478947,9.611914
8.175163,5.609035
7.844537,7.518698
4.6823483,3.6354563
14.282016,11.727985
6.6233025,5.4866896
6.236767,4.778452
11.9716835,7.368598
5.3119674,4.8236566
9.439626,7.3973913
8.234875,5.6536856
7.017143,5.885641
8.720289,4.7071376
10.46638,8.608308
12.332769,8.905581
10.90832,9.000065
4.777209,4.7868915
8.704838,7.705313
9.962539,8.610781
10.605111,8.764522
9.239036,7.1457877
17.78537,13.810494
11.543324,10.504389
5.0975537,4.7134504
12.177648,9.210418
8.298888,6.616783
9.498278,8.362299
8.832171,7.790032
3.8599324,4.686066
9.295384,5.821911
10.990026,9.089324
12.694691,9.468819
6.8668756,6.4891505
16.377369,12.591761
15.796504,11.308885
6.5922275,6.434678
7.687254,5.42626
7.971641,6.973807
5.9601383,5.506666
12.2360325,9.173112
13.301471,11.9727955
12.049823,9.280109
8.9945545,7.5022407
12.300928,10.657365
12.628806,9.5977745
8.14754,7.0579867
9.173914,5.311174
11.460804,9.968521
7.6691446,7.049882
13.31903,9.243593
11.857827,9.686573
16.839924,13.85938
9.570428,7.1725926
4.2463117,3.9661167
12.261281,9.526873
7.0125966,5.2189035
12.512785,9.510543
9.9883,8.610797
9.167574,5.15247
8.912642,7.953373
7.7475777,6.284655
10.532784,8.927581
3.84255,4.165184
12.118693,9.927017
9.126098,8.245667
