SP,noSP
5.96499,5.737222
4.043693,3.9695966
3.843167,3.4882998
4.845233,4.24883
5.120322,5.049896
4.818135,4.3992176
4.110193,3.5006537
5.3168697,4.7325234
6.1134276,5.587094
7.7000465,7.205419
4.952668,4.748735
5.9896603,5.385358
5.9523983,5.544151
4.149411,4.211849
5.4586864,5.1254754
5.430286,4.919991
4.6714444,4.443331
4.1734285,4.052747
4.5011377,3.873065
4.6123037,4.387406
4.7738433,4.319113
4.0399394,3.7087624
5.418658,5.392886
3.5098026,3.0885806
4.3896017,4.048595
4.1953807,3.9488125
6.1582675,5.432216
5.5005164,5.065534
3.5069082,3.4227622
5.129459,4.692313
3.119502,2.994977
5.6738877,5.4025207
5.7855287,5.3854156
6.1859527,5.672823
5.5320683,4.786876
4.909043,4.635789
3.9774487,3.963126
4.201173,4.0719595
4.5715013,4.7547536
3.0013032,2.933002
4.0933933,3.8071578
5.5880766,4.9105096
4.724264,4.456772
4.2467375,4.0426292
4.477363,4.6263723
4.2518177,3.8896255
3.3412519,3.096394
5.742509,4.9401155
5.3003044,4.6761446
4.0842586,3.8918827
5.6606927,5.474145
5.1607804,4.7474856
4.7314324,4.5802627
5.600001,5.504963
4.7841,4.61807
6.4291325,5.6057854
4.3972507,4.271085
6.208866,5.3671656
3.6925986,3.61117
6.064439,5.3708296
4.544121,4.129871
3.2923105,3.001214
5.254558,5.0811615
5.646777,5.4755244
3.6450307,3.2857368
3.4400327,3.3110383
4.8594246,4.3382134
5.535863,5.260263
4.790654,4.747374
4.724866,4.4173903
8.443439,7.929911
4.8113427,4.5909867
4.8903084,4.6456757
4.562127,4.6775656
4.90934,4.6419196
4.6135454,4.2461915
3.9406674,3.826019
4.6789846,4.344119
4.0147476,3.805642
4.672642,4.2299414
3.762581,3.3597531
6.385202,5.7790565
4.912907,4.577937
4.476999,4.183517
5.2765274,4.495042
4.736054,4.431187
4.693251,4.509742
5.287421,4.7501307
4.5329223,4.573468
5.534961,5.3974757
4.2755785,3.8743465
4.2968874,4.0201244
4.82722,4.5966806
4.0817785,4.0261526
3.8115723,3.2501702
3.29344,3.1398215
5.45709,5.040667
4.428266,3.8617632
5.3280506,4.664894
3.5442696,3.2458284
6.6798625,6.1511393
6.0929766,5.5755186
6.0958853,5.218938
6.035107,5.5653048
5.9821496,5.303407
4.8393035,4.66719
5.008119,5.136705
5.2070045,4.800312
4.4630785,4.081566
6.0228205,6.4236784
5.42996,5.1540937
4.1875105,3.9512718
5.539801,4.933094
4.084887,3.691214
3.9688642,3.751285
4.837499,4.365363
6.157329,5.357785
4.332579,3.887769
4.2724066,3.8142745
8.063303,7.441447
4.401054,4.245712
4.1552615,3.7565103
3.5740156,3.3337824
5.0301876,4.590244
3.7506075,3.3542325
5.2398357,5.3217006
6.6987753,6.1173306
5.01925,4.7174025
6.8012776,6.407817
4.2311697,3.8533244
4.8442845,4.4697647
7.829043,7.34405
4.933668,4.5469947
4.406261,4.3993554
4.457049,4.5747123
5.7193646,5.205428
5.0417843,5.1589046
5.159046,4.7864404
5.0114684,4.5561285
3.5730288,3.4498434
4.1024175,3.787055
4.7653947,4.417307
4.4839334,4.5848875
4.6414137,4.2321568
3.6377451,3.5804696
5.210047,4.660256
5.6291375,4.8038645
5.5786357,5.1709623
2.9945657,2.5904708
5.7148495,5.116665
5.214084,5.0045996
5.7862196,5.475443
4.7268915,4.621895
3.189896,3.056647
6.259068,6.1463156
4.590245,4.189171
4.790867,4.344719
4.027034,3.6529493
3.7251005,3.45923
5.319226,4.6582108
5.4553714,5.1207542
8.316832,7.824681
6.6994452,5.973784
4.1162763,3.735614
9.17728,8.818389
4.4370956,4.180106
3.5521445,3.5330074
3.9148352,3.9658484
4.928104,4.4015636
5.5878086,5.0033684
4.0872984,3.6608384
8.301234,8.361808
3.9155333,3.7623827
